"p","contamination_level","ctam_sigma","ctam_mu","ols_avg_runtime","ols_diag_avg_runtime","m_estimator_avg_runtime","mm_estimator_avg_runtime","s_estimator_avg_runtime"
1,0,1,0,0.000755542516708374,0.00102819204330444,0.00185653567314148,0.0306944847106934,0.0292433023452759
1,0.2,1,0,0.000621670484542847,0.000955361127853394,0.00216251611709595,0.0301653444766998,0.0295218408107758
1,0.4,1,0,0.000734102725982666,0.000953340530395508,0.00199467539787292,0.0304424703121185,0.0299041211605072
1,0.6,1,0,0.000537765026092529,0.00115542411804199,0.00185121893882751,0.0306105434894562,0.0301762342453003
5,0,1,0,0.000892382860183716,0.0013077974319458,0.00234025716781616,0.0462634444236755,0.0459437966346741
5,0.2,1,0,0.000832206010818481,0.00130577087402344,0.0030333936214447,0.0465580403804779,0.045997416973114
5,0.4,1,0,0.000891625881195068,0.00129157304763794,0.00339261889457703,0.0471061885356903,0.0463331878185272
5,0.6,1,0,0.000794678926467896,0.00125942826271057,0.00273734927177429,0.0470421731472015,0.0462314546108246
10,0,1,0,0.00124984383583069,0.00175821781158447,0.00304411053657532,0.0734156012535095,0.0723361134529114
10,0.2,1,0,0.00120108127593994,0.00165727734565735,0.00390398502349854,0.0722755789756775,0.0707068204879761
10,0.4,1,0,0.00216403603553772,0.0017120361328125,0.0049616813659668,0.0722171247005463,0.0700147211551666
10,0.6,1,0,0.00107479691505432,0.00159125328063965,0.00345673561096191,0.0740210354328155,0.0708406269550323
20,0,1,0,0.00187366008758545,0.00262671709060669,0.00456168651580811,0.151795071363449,0.150549560785294
20,0.2,1,0,0.00173285603523254,0.00247306823730469,0.00613582730293274,0.137229996919632,0.135795021057129
20,0.4,1,0,0.00194258093833923,0.00336414575576782,0.0075829803943634,0.134810292720795,0.130696630477905
20,0.6,1,0,0.00178841352462769,0.00239273309707642,0.0055485725402832,0.14088933467865,0.135856175422668
50,0,1,0,0.00409753322601318,0.00540151000022888,0.0124805271625519,0.585295051336288,0.581585544347763
50,0.2,1,0,0.0041022777557373,0.00546965599060059,0.0159098386764526,0.497837883234024,0.48667476773262
50,0.4,1,0,0.00409509539604187,0.00546294450759888,0.021403032541275,0.449315595626831,0.434723997116089
50,0.6,1,0,0.00389285087585449,0.00530523657798767,0.0144614517688751,0.493097507953644,0.471685606241226
